OTUID,pos,depth,Cd,Cr,Zn,Ni,Cu,Pb,Co,Fe,Mn,As,Ti
JM1_1,JM1,1,27,90,172,33,38,40,16,41,36,21,182
JM1_2,JM1,2,24,107,200,33,39,41,16,49,45,21,192
JM1_3,JM1,3,25,91,191,35,39,41,16,49,41,21,181
JM1_4,JM1,4,23,102,186,35,39,42,16,50,48,22,183
JM1_5,JM1,5,27,122,168,31,36,36,15,40,37,17,173
JM1_6,JM1,6,21,111,175,32,38,37,15,44,37,19,176
JM1_7,JM1,7,21,114,185,34,43,37,15,41,32,22,177
JM1_8,JM1,8,24,107,211,36,44,42,16,32,32,22,184
JM1_9,JM1,9,25,101,258,38,44,45,17,43,34,23,180
JM1_10,JM1,10,23,86,331,40,43,44,17,47,36,23,177
JM1_11,JM1,11,22,101,215,39,49,46,18,42,34,25,183
JM1_12,JM1,12,17,96,249,35,41,41,16,52,35,21,190
JM3_1,JM3,1,29,101,279,46,52,62,17,43,38,27,174
JM3_2,JM3,2,32,89,277,43,51,61,17,41,37,26,168
JM3_3,JM3,3,33,101,203,42,53,63,17,44,38,28,164
JM3_4,JM3,4,38,91,217,41,46,61,16,48,39,27,167
JM3_5,JM3,5,41,87,171,42,53,60,17,41,31,26,163
JM3_6,JM3,6,48,89,226,44,57,65,17,52,36,27,168
JM3_7,JM3,7,71,97,210,41,57,60,16,53,24,24,165
JM3_8,JM3,8,68,85,186,36,52,55,14,39,35,22,159
JM3_9,JM3,9,73,102,222,43,57,64,16,40,30,24,177
JM3_10,JM3,10,68,115,240,50,65,73,19,34,33,42,171
JM3_11,JM3,11,43,91,264,42,52,58,16,39,50,24,164
JM3_12,JM3,12,54,100,131,46,57,66,18,44,43,24,162
JM4_1,JM4,1,67,93,131,35,50,56,14,46,47,21,174
JM4_2,JM4,2,71,92,123,35,48,54,15,45,40,21,175
JM4_3,JM4,3,79,86,118,35,48,50,15,43,38,21,190
JM4_4,JM4,4,79,78,111,29,40,46,13,46,42,19,198
JM4_5,JM4,5,129,89,111,34,51,53,15,35,32,22,168
JM4_6,JM4,6,135,90,114,33,49,59,14,40,54,22,169
JM4_7,JM4,7,181,272,121,40,71,78,16,47,30,31,184
JM4_8,JM4,8,149,250,126,37,61,80,14,56,28,27,190
JM4_9,JM4,9,125,289,123,37,55,69,15,48,31,25,198
JM4_10,JM4,10,147,328,130,44,62,90,16,48,31,31,202
JM4_11,JM4,11,231,303,113,41,74,82,16,42,37,41,212
JM4_12,JM4,12,272,354,190,42,80,84,17,43,37,48,211
JM5_1,JM5,1,77,270,193,49,60,96,16,42,55,35,217
JM5_2,JM5,2,77,85,183,47,63,90,15,42,54,34,201
JM5_3,JM5,3,78,93,180,39,51,77,13,42,45,29,157
JM5_4,JM5,4,96,92,177,47,66,93,14,42,28,32,152
JM5_5,JM5,5,96,86,197,46,59,90,14,42,52,33,145
JM5_6,JM5,6,84,78,189,38,54,80,13,42,24,29,152
JM5_7,JM5,7,96,89,167,38,60,74,14,47,26,28,154
JM5_8,JM5,8,98,101,286,45,65,86,15,45,39,30,156
JM5_9,JM5,9,109,91,293,42,73,80,14,42,52,32,170
JM5_10,JM5,10,126,87,238,40,81,70,15,28,33,35,155
JM5_11,JM5,11,89,89,349,38,58,64,13,48,50,28,144
JM5_12,JM5,12,92,97,272,40,60,67,14,47,37,29,147
JM8_1,JM8,1,240,100,250,56,64,174,15,43,36,41,158
JM8_2,JM8,2,182,218,289,67,70,194,18,45,41,45,140
JM8_3,JM8,3,73,110,328,36,34,81,12,46,49,24,231
JM8_4,JM8,4,76,129,303,38,37,87,13,50,37,24,213
JM8_5,JM8,5,124,151,354,45,49,115,15,52,34,31,216
JM8_6,JM8,6,158,182,270,49,49,142,15,51,35,37,215
JM8_7,JM8,7,214,107,313,57,72,184,17,55,30,43,210
JM8_8,JM8,8,244,91,322,66,78,226,17,47,29,49,207
JM8_9,JM8,9,227,102,282,56,68,223,15,48,31,38,197
JM8_10,JM8,10,228,122,197,57,73,214,15,28,31,38,208
JM8_11,JM8,11,239,111,218,61,75,234,16,48,32,39,220
JM8_12,JM8,12,236,114,252,66,68,222,17,47,33,45,215
JM10_1,JM10,1,560,107,225,49,97,135,17,43,30,54,224
JM10_2,JM10,2,572,101,229,45,72,114,15,45,39,49,199
JM10_3,JM10,3,428,86,216,45,73,109,14,46,28,40,193
JM10_4,JM10,4,407,101,218,48,80,106,17,50,66,50,193
JM10_5,JM10,5,458,96,110,49,94,114,17,52,59,59,188
JM10_6,JM10,6,429,207,129,48,91,131,16,51,51,57,194
JM10_7,JM10,7,348,232,151,45,78,130,16,55,37,50,188
JM10_8,JM10,8,369,288,182,44,79,92,16,47,52,52,201
JM10_9,JM10,9,460,286,207,49,100,111,18,48,57,67,186
JM10_10,JM10,10,406,293,232,41,113,113,16,48,44,66,154
JM10_11,JM10,11,362,238,288,36,109,99,15,47,28,55,183
JM10_12,JM10,12,443,349,334,38,134,91,15,46,37,70,213
